Wall time,Step,Value
1715424118.698471,1775,-119.97799682617188
1715424118.713955,1777,-126.4931869506836
1715424118.7585692,1784,-127.37757873535156
1715424200.4707527,1789,-151.06771850585938
1715424200.4907088,1792,-153.18344116210938
1715424200.5541186,1800,-153.47462463378906
1715424200.6808124,1819,-145.80694580078125
1715424287.6392517,1823,-83.88699340820312
1715424287.6850488,1830,-111.86038208007812
1715424287.747424,1838,-132.48423767089844
1715424287.8075433,1847,-139.9269561767578
1715424287.835724,1851,-138.77508544921875
1715424375.6960988,1860,-150.1083984375
1715424375.7232184,1865,-126.22628021240234
1715424375.7315376,1866,-113.6664047241211
1715424375.7371228,1867,-115.38404846191406
1715424375.8361218,1883,-124.38722229003906
1715424375.8650157,1888,-124.28973388671875
1715424465.3462021,1899,53.16546630859375
1715424465.441576,1902,28.9267520904541
1715424465.630435,1908,64.18506622314453
1715424465.6526058,1909,60.8002815246582
1715424465.7860305,1913,80.63803100585938
1715424465.9312232,1918,102.9916000366211
1715424466.0658362,1924,108.74589538574219
1715424563.00079,1925,-185.17759704589844
1715424563.067138,1936,-137.61190795898438
1715424563.0916324,1940,-136.6688995361328
1715424563.09646,1941,-135.2928466796875
1715424563.1195605,1945,-135.96824645996094
1715424563.1325872,1947,-136.75660705566406
1715424563.1692863,1953,-139.79827880859375
1715424563.1882746,1956,-140.1257781982422
1715424678.9992085,1960,-153.427001953125
1715424679.0059226,1961,-137.30833435058594
1715424679.0190053,1963,-170.2615966796875
1715424679.0259435,1964,-172.42030334472656
1715424679.0376513,1966,-143.75096130371094
1715424679.1386619,1977,-141.84474182128906
1715424679.150658,1979,-143.05828857421875
1715424679.1961682,1987,-139.61648559570312
1715424679.2019303,1988,-138.91334533691406
1715424679.226412,1991,-149.7232208251953
1715424718.4641502,2026,-134.10154724121094
1715424792.0921721,2047,-109.53113555908203
1715424792.140985,2055,-115.38809204101562
1715424855.0902803,2067,-139.34410095214844
1715424855.1094968,2070,-144.55072021484375
1715424855.171181,2079,-137.6331024169922
1715424855.2386303,2089,-135.61541748046875
1715424855.291521,2097,-132.57606506347656
1715424922.8440938,2100,-70.97232055664062
1715424922.871831,2103,-186.62867736816406
1715424922.9098527,2109,-153.22344970703125
1715424922.9416597,2114,-148.79762268066406
1715424922.9477093,2115,-148.17111206054688
1715424922.9746232,2119,-148.8120880126953
1715424922.9797094,2120,-146.12533569335938
1715424923.0615206,2127,-130.39151000976562
1715424987.6858506,2136,-129.41073608398438
1715424987.7018287,2139,-115.08792114257812
1715424987.8323164,2159,-137.2216033935547
1715424987.8936346,2169,-137.82688903808594
1715425045.2908936,2187,-138.8416748046875
1715425045.3352804,2194,-138.70687866210938
1715425045.3771005,2201,-133.52801513671875
1715425117.7455406,2209,-136.30975341796875
1715425117.7582002,2211,-144.32781982421875
1715425117.7837253,2215,-134.3336944580078
1715425117.8206065,2221,-141.10264587402344
1715425117.8462324,2225,-137.91004943847656
1715425117.9134939,2236,-138.24354553222656
1715425117.9329224,2239,-138.39259338378906
1715425174.6589005,2244,-97.90523529052734
1715425174.7410965,2257,-132.54344177246094
1715425225.4740531,2281,-111.44146728515625
1715425225.5971549,2300,-113.3924789428711
1715425225.6327848,2305,-127.85003662109375
1715425225.637832,2306,-127.59059143066406
1715425278.4816842,2316,-203.2036895751953
1715425278.5449536,2319,-204.96514892578125
1715425278.6594245,2324,-165.56344604492188
1715425278.8709023,2332,-172.20501708984375
1715425279.0826924,2342,-165.4598388671875
1715425302.0995708,2352,-171.49557495117188
1715425302.14894,2359,-144.4275360107422
1715425302.231206,2373,-141.60374450683594
1715425347.0252175,2389,-134.4298095703125
1715425347.0514777,2393,-126.69512176513672
1715425347.0565932,2394,-123.98967742919922
1715425347.078566,2397,-124.15498352050781
1715425347.0837908,2398,-124.59611511230469
1715425384.4783847,2428,-124.5186538696289
1715425384.501017,2431,-128.74725341796875
1715425384.527794,2435,-134.99539184570312
1715425384.5344665,2436,-135.1671905517578
1715425384.5658586,2441,-134.40606689453125
1715425421.7818422,2454,-122.15201568603516
1715425421.8331423,2462,-131.3321533203125
1715425421.8506854,2465,-134.23797607421875
1715425454.6788192,2485,-114.32014465332031
1715425454.730655,2493,-127.64330291748047
1715425454.7649055,2498,-132.4745635986328
1715425454.7756405,2500,-131.85855102539062
1715425454.792767,2503,-129.87486267089844
1715425454.8037753,2505,-127.71831512451172
1715425454.810915,2506,-128.59580993652344
1715425454.8754983,2517,-132.72520446777344
1715425454.8802903,2518,-131.8250732421875
1715425454.887591,2519,-132.7315673828125
1715425499.8710916,2521,-124.97872161865234
1715425499.8825526,2523,-131.30255126953125
1715425499.9122326,2528,-123.9784927368164
1715425499.924956,2530,-129.93365478515625
1715425499.9740567,2538,-127.96064758300781
1715425523.3999698,2565,152.82321166992188
1715425523.430992,2566,158.11199951171875
1715425523.82155,2577,169.71754455566406
1715425523.8668294,2578,173.42124938964844
1715425524.1621785,2588,179.60418701171875
1715425524.2220078,2589,180.1229705810547
1715425559.201713,2592,-165.20350646972656
1715425559.2488818,2599,-147.91592407226562
1715425559.2957082,2606,-130.62420654296875
1715425559.378882,2619,-123.04936218261719
1715425595.0537932,2627,-120.77772521972656
1715425595.0600085,2628,-133.56585693359375
1715425595.107799,2635,-161.23602294921875
1715425595.1300178,2638,-151.65081787109375
1715425595.1367555,2639,-153.839111328125
1715425595.1415558,2640,-151.89141845703125
1715425595.1592488,2643,-149.8806610107422
1715425627.1601493,2662,-117.53022766113281
1715425627.212423,2670,-113.41901397705078
1715425627.219506,2671,-118.6480712890625
1715425627.237403,2674,-122.86344146728516
1715425627.279155,2681,-123.27991485595703
1715425627.2981641,2684,-124.89886474609375
1715425627.3080678,2686,-124.8280029296875
1715425627.323876,2689,-124.79617309570312
1715425627.350035,2693,-127.50399017333984
1715425661.1100352,2702,-111.66604614257812
1715425661.149681,2708,-121.79044342041016
1715425661.1795967,2713,-129.705322265625
1715425661.2063215,2717,-133.43101501464844
1715425661.2199044,2719,-133.1285400390625
1715425661.285077,2729,-134.1683807373047
1715425703.3441072,2730,-88.02010345458984
1715425703.3704374,2734,-110.40472412109375
1715425703.3986583,2739,-118.4857406616211
1715425703.4062378,2740,-119.40364074707031
1715425703.4138496,2741,-120.86956024169922
1715425703.435248,2744,-122.93177795410156
1715425703.4912274,2753,-124.1834716796875
1715425703.4961643,2754,-122.43990325927734
1715425703.5044816,2755,-121.94113159179688
1715425703.5335402,2760,-119.43601989746094
1715425728.047925,2765,-240.84693908691406
1715425728.251616,2768,9.306638717651367
1715425728.3813622,2771,93.04613494873047
1715425728.4735618,2773,118.95611572265625
1715425728.5566912,2775,126.11319732666016
1715425728.6660957,2778,118.03456115722656
1715425728.9406068,2785,128.06114196777344
1715425729.5321875,2797,127.79348754882812
1715425729.6060467,2799,132.3296661376953
1715425781.8670733,2812,-143.74098205566406
1715425781.9283295,2813,-150.44126892089844
1715425782.20949,2824,-150.85630798339844
1715425782.4435618,2834,-151.021484375
1715425820.9857726,2838,-139.24786376953125
1715425821.0195916,2844,-134.236083984375
1715425821.0629125,2851,-135.60595703125
1715425821.0677881,2852,-136.7426300048828
1715425821.1188107,2861,-132.6660919189453
1715425821.1249752,2862,-131.90701293945312
1715425845.1668317,2881,-118.93235778808594
1715425845.1722648,2882,-120.77999877929688
1715425845.2247922,2891,-127.2146987915039
